vertices_number,edges_number,algorithm_ADD_VERTEX,algorithm_ADD_EDGE,algorithm_REMOVE_VERTEX,algorithm_REMOVE_EDGE,algorithm_UPDATE_WEIGHT,fulkerson_ADD_VERTEX,fulkerson_ADD_EDGE,fulkerson_REMOVE_VERTEX,fulkerson_REMOVE_EDGE,fulkerson_UPDATE_WEIGHT
40,small,0,58925,58925,58871,58871,73317,65265,65265,65205,65205
40,small,0,24944,24944,24910,24910,27360,25680,25680,25645,25645
40,small,0,3132,3124,3124,3124,3324,3132,3124,3124,3124
40,small,0,51361,51361,51314,50239,56525,52418,52418,52370,49161
40,small,0,32311,30173,31544,31544,36395,35175,34468,35128,35128
40,small,0,7447,7428,7428,7428,7789,7447,7428,7428,7428
40,small,0,57626,57573,57573,57573,63266,57625,57572,57572,57572
40,small,0,24960,24960,24926,28491,25759,24241,24241,24208,26355
40,small,0,7378,7378,8488,8488,8984,7380,7380,8860,8860
40,big,0,53209,53160,53160,53160,63204,57516,57463,57473,56412
40,big,0,25913,25878,25878,25878,27370,25935,25900,25900,25900
40,big,0,11090,11061,11061,11061,11738,10738,10710,10710,10710
40,big,0,49504,49459,49459,49459,57589,54939,54889,54889,54889
40,big,0,31000,30958,30958,30958,39474,36775,36725,36725,36725
40,big,0,5434,5420,5420,5420,6987,6596,6579,6579,6579
40,big,0,63978,63978,63919,63919,66602,60724,60724,60668,60668
40,big,0,22145,22145,22115,22115,23492,19970,19970,19943,19943
40,big,0,4375,4364,4364,4364,6981,4768,4756,4756,4756
40,big,0,67469,67407,67407,67407,68833,62160,62103,62103,62103
50,average,0,0,61191,61139,61139,63561,58872,58872,58822,58822
50,average,0,17141,17141,17113,17709,18377,17739,17739,17710,18896
50,average,0,123301,123301,123230,123230,126962,121642,121642,121572,121572
50,average,0,56210,56162,56162,56162,64653,58405,58355,58355,58355
50,average,0,17550,17521,17521,17521,16516,15762,15736,15736,15736
50,average,0,115254,115254,115188,115188,126924,113461,113461,113396,113396
50,average,0,0,57503,57454,57454,52699,51701,51701,51657,51657
50,average,0,11696,11677,11677,11677,12154,11698,11679,11679,11679
50,average,0,136651,136651,136572,136572,139260,128175,128175,128101,128101
50,average,0,67631,67631,67573,68705,76692,71024,71024,70963,72095
50,small,0,15313,15313,15288,15288,14640,14134,14134,14111,14111
50,small,0,118264,118196,118196,118196,141087,131988,131912,131912,131912
50,small,0,57577,57528,57528,57528,58794,55289,55242,55242,55242
50,small,0,12861,12861,12840,12840,14660,14062,14062,14039,14637
50,small,0,96060,96060,96005,96005,119816,113233,113233,113168,113168
50,small,0,59564,59513,59513,59513,68309,58517,58467,58467,58467
50,small,0,14068,14045,14045,14045,17170,16468,16441,16441,16441
50,small,0,109698,109635,109635,109635,114356,113101,113036,113036,113036
50,small,0,59721,59670,59670,59670,58692,57438,57389,57389,57389
50,small,0,18271,18241,18241,18241,17775,17073,17045,17045,17045
50,big,0,116307,116307,116240,116240,121575,111247,111247,111183,111183
50,big,0,56071,56071,56023,56023,59956,56118,56118,56070,56070
50,big,0,17182,17154,17154,17154,17775,17187,17159,17159,17159
50,big,0,116142,116142,116075,116075,116267,114426,114426,114360,114360
50,big,0,50553,50510,50510,50510,58778,56330,56282,56282,56282
50,big,0,5598,5589,5589,5589,5805,5598,5589,5589,5589
50,big,0,128330,128330,128256,128256,135836,125113,125113,125041,125041
50,big,0,73151,73151,73088,73088,74167,69688,69688,69628,69628
50,big,0,15069,15069,15044,15044,16516,15658,15658,15632,15632
50,big,0,103077,103077,103018,103018,107240,97916,97916,97860,97860
60,average,0,98624,98566,98566,98566,100893,96986,96929,96929,96929
60,average,0,35998,35957,35957,35957,36380,34320,34281,34281,34281
60,average,0,258557,258557,258455,258455,261567,253467,253467,253367,253367
60,average,0,89298,89246,89246,89246,95610,91003,90950,90950,90950
60,average,0,30498,30498,30463,30463,32752,31348,31348,31312,31312
60,average,0,227403,227313,227313,227313,248845,229901,229810,229810,229810
60,average,0,95875,95875,95819,95819,104286,97505,97505,97448,97448
60,average,0,25515,24651,25486,25486,25597,25538,24673,25509,25509
60,average,0,227432,227342,227342,227342,251458,234878,234785,234785,234785
60,average,0,107614,107614,107551,107551,111314,105920,105920,105858,105858
60,small,0,31630,31594,31594,31594,35465,31628,31592,31592,31592
60,small,0,232667,232667,232575,232575,251406,240197,240197,240102,240102
60,small,0,115526,115458,115458,115458,118203,105532,105470,105470,105470
60,small,0,20500,20477,20477,20477,22020,21396,21372,21372,21372
60,small,0,243716,243620,243620,243620,246307,246253,246156,246156,246156
60,small,0,105794,105794,105732,105732,111277,107497,107497,107434,107434
60,small,0,28347,28315,28315,28315,30054,28357,28325,28325,28325
60,small,0,242745,242649,242649,242649,261622,237691,237597,237597,237597
60,small,0,96929,96872,96872,100217,100873,96940,96883,96883,98556
60,small,0,27497,27466,27466,27466,28327,25745,25716,25716,27458
60,big,0,238002,238002,237908,237908,235762,218073,218073,217987,217987
60,big,0,77041,76996,76996,76996,88558,83737,83688,83688,83688
60,big,0,33200,33162,33162,33162,35379,32346,32309,32309,32309
60,big,0,250230,250230,250131,250131,266951,250343,250343,250244,250244
60,big,0,94781,94781,94726,94726,102604,91361,91361,91308,91308
60,big,0,29935,29901,29901,29901,27410,26499,26469,26469,26469
60,big,0,202867,202867,202787,202787,215382,205343,205343,205262,205262
60,big,0,90401,90348,90348,90348,92149,87036,86985,86985,86985
60,big,0,30731,30731,30696,30696,29221,27300,27300,27269,27269
60,big,0,230114,230023,230023,230005,251322,240008,239913,239913,247332
70,average,0,133585,133585,133528,133528,147451,142876,142876,142815,142815
70,average,0,39771,39738,39738,39738,47108,40955,40921,40921,40921
70,average,0,324036,324036,323943,323943,326709,313619,313619,313529,313529
70,average,0,174969,174969,174894,174894,185535,177335,177335,177259,177259
70,average,0,46012,45974,45974,45974,51948,43646,43610,43610,43610
70,average,0,351787,344788,348246,348246,383607,362196,358662,358662,358662
70,average,0,156796,156796,156729,156729,176006,159085,159085,159017,159017
70,average,0,65135,65081,65081,65081,68900,67500,67444,67444,67444
70,average,0,361957,361853,361853,361853,386683,375618,375510,375510,375510
70,average,0,177474,177474,177398,177398,185530,179909,179909,179832,179832
70,small,0,31295,31295,31269,31269,32381,31289,31289,31263,31263
70,small,0,351742,351742,351641,351641,355178,348312,348312,348212,348212
70,small,0,172480,172480,172406,172406,164033,156427,156427,156360,156360
70,small,0,52168,52125,52125,52125,51984,50976,50934,50934,50934
70,small,0,327447,327447,327353,330837,330355,317062,317062,316971,316971
70,small,0,142969,142908,142908,142908,161703,159173,159105,159105,159105
70,small,0,44416,44416,44379,44379,45917,44474,44474,44437,44437
70,small,0,378391,378391,378282,378282,386904,368088,368088,367982,367982
70,small,0,154844,154844,154778,154778,171268,168697,168697,168625,168625
70,small,0,39983,39950,39950,39950,38549,37619,37588,37588,37588
70,big,0,386291,386291,386180,386180,404484,382914,382914,382804,382804
70,big,0,164050,163980,163980,163980,168704,164084,164014,164014,164014
70,big,0,32697,32670,32670,32670,33642,32697,32670,32670,32670
70,big,0,338099,338002,338002,338002,351554,341362,341264,341264,341264
70,big,0,188259,188179,188179,188179,190185,181362,181285,181285,181285
70,big,0,23106,23087,23087,23087,29926,24313,24293,24293,24293
70,big,0,303272,303272,303185,303185,323366,299937,299937,299851,299851
70,big,0,187593,187593,187513,187513,195019,180776,180776,180699,180699
70,big,0,46139,46101,46101,46101,52017,48540,48500,48500,48500
70,big,0,338886,338789,338789,338789,365859,356119,356017,356017,356017
80,average,0,230636,230636,230561,230561,240143,230647,230647,230572,230572
80,average,0,55098,55063,55063,55063,59939,58311,58274,58274,58274
80,average,0,510480,510369,510369,510369,484548,483252,483147,483147,483147
80,average,0,206248,206181,206181,206181,218227,212297,212228,212228,212228
80,average,0,85518,85518,85455,85455,86962,85504,85504,85492,85492
80,average,0,490477,490477,490370,490370,531264,508649,508649,508538,508538
80,average,0,218445,218445,215335,215335,214885,206147,206147,206080,206080
80,average,0,73758,73711,73711,73711,74321,72297,72251,72251,72251
80,average,0,595538,595538,595408,595408,581851,568087,568087,567963,567963
80,average,0,237194,237194,237117,237117,240165,231210,231210,231135,231135
80,small,0,74217,74170,74170,74170,75937,72683,72637,72637,72637
80,small,0,562274,562274,562151,562153,610003,571257,571257,571132,575631
80,small,0,252047,251965,251965,251965,280501,264147,264061,264061,264061
80,small,0,57047,57047,57011,57011,59928,57103,57103,57067,57067
80,small,0,584438,584438,584310,584310,614340,579837,579837,579710,579710
80,small,0,285582,285582,282464,282464,289921,282561,282561,282469,282469
80,small,0,66033,66033,65991,65991,74349,72279,72279,72233,72233
80,small,0,558138,558138,558016,558016,582105,576255,576255,576129,576129
80,small,0,199945,199945,199880,199880,212062,196970,196970,196906,196906
80,small,0,65090,65049,65049,65049,67935,66675,66633,66633,66633
80,big,0,609014,608881,608881,608881,614837,586622,586494,586494,586494
80,big,0,278498,278498,278407,278407,290051,281493,281493,281401,281401
80,big,0,72464,72418,72418,72418,74280,70933,70888,70888,70888
80,big,0,489754,489754,489647,489647,554472,530562,530562,530446,530446
80,big,0,258433,258349,258349,258349,277281,270425,270337,270337,270337
80,big,0,65948,65906,65906,65906,85464,69069,69025,69025,69025
80,big,0,485309,485309,485203,485203,521673,498888,498888,498779,498779
80,big,0,240530,240452,252580,252580,286956,265042,264956,280130,280130
80,big,0,56686,56650,56650,56650,56753,55143,55108,55108,55108
80,big,0,498569,498569,498460,507480,535806,489606,489606,489499,489501
90,average,0,367582,367488,367488,367488,348355,340438,340351,340351,340351
90,average,0,90008,89963,89963,89963,92070,90000,89955,89955,89955
90,average,0,728197,728197,728072,728072,710207,682112,682112,681995,681995
90,average,0,340980,340893,340893,340893,352151,325506,325423,325423,325423
90,average,0,64202,64170,64170,64170,67727,62217,62186,62186,62186
90,average,0,786483,786483,786348,786348,745505,751847,751847,751718,751718
90,average,0,341338,341251,341251,341251,348415,341368,341281,341281,341281
90,average,0,86289,86246,86246,86246,96099,88231,88187,88187,88187
90,average,0,809048,808909,808909,808909,792406,774451,774318,774318,774318
90,average,0,318127,318046,318046,318046,324370,318133,318052,318052,318052
90,small,0,115235,115177,115177,115177,116307,113286,113229,113229,113229
90,small,0,774582,774582,774449,774449,804051,785961,785961,785826,785826
90,small,0,352083,351993,351993,351993,355992,340368,340281,340281,340281
90,small,0,75622,75584,75584,75584,85981,77589,77550,77550,77550
90,small,0,654336,654336,654224,654224,674477,648479,648479,648368,648368
90,small,0,332820,332820,332735,340387,328341,317174,317174,317093,328824
90,small,0,99845,99795,99795,99795,104238,101841,101790,101790,101790
90,small,0,884245,884245,884093,884093,851452,844074,844074,843929,843929
90,small,0,371221,371221,371126,371126,387992,375054,375054,374958,374958
90,small,0,121592,121592,121531,121531,112207,113659,113659,113602,113602
90,big,0,786952,786952,786817,786817,762981,746597,746597,746469,746469
90,big,0,360633,360633,360541,360541,387867,380007,380007,379910,379910
90,big,0,62332,62301,62301,62301,63634,62332,62301,62301,62301
90,big,0,804247,804247,804109,804109,816236,792670,792670,792534,792534
90,big,0,413989,413883,402318,402318,423335,402550,402447,383142,383142
90,big,0,95880,95832,95832,95832,100120,91924,91878,91878,91878
90,big,0,729271,729271,729146,729146,727860,712000,712000,723445,723445
90,big,0,290088,290014,290014,290014,288817,286268,286195,286195,286195
90,big,0,96074,96026,96026,96026,102222,98096,98047,98047,98047
90,big,0,804120,804120,803982,803982,804409,786861,786861,786726,786726
100,average,0,479071,479071,478972,478972,509278,503230,503230,503126,503126
100,average,0,177056,176984,176984,176984,170900,169779,169710,169710,169710
100,average,0,1104624,1104624,1104471,1104471,1157053,1133195,1133195,1133038,1133038
100,average,0,565664,565664,565547,570323,626602,613394,613394,613267,617987
100,average,0,126247,123748,126196,126196,116115,116403,113907,116356,116356
100,average,0,1190212,1190212,1190047,1190047,1149544,1161422,1161422,1161261,1161261
100,average,0,383246,383167,383167,383167,421155,412145,412060,412060,412060
100,average,0,121057,121008,121008,121008,126154,125999,125948,125948,125948
100,average,0,1063051,1063051,1062904,1062904,1119871,1098743,1098743,1098591,1098591
100,average,0,483643,483643,483543,483543,475069,464317,464317,464221,464221
100,small,0,175281,175210,175210,175210,175902,170487,170418,170418,170418
100,small,0,1076301,1076301,1076152,1076152,1157020,1112040,1112040,1111886,1111886
100,small,0,556413,556298,546696,546696,553323,551497,551383,536988,536988
100,small,0,111449,111404,111404,111404,103649,101640,101599,101599,101599
100,small,0,1062276,1062129,1062129,1062129,1127221,1090761,1090610,1090610,1090610
100,small,0,461422,461422,461327,461327,450575,442203,442203,442112,442112
100,small,0,160427,160362,160362,160362,175975,180000,179927,179927,179927
100,small,0,917785,917785,903366,903366,930209,903493,903493,896180,896180
100,small,0,427221,427221,427133,427133,440761,432217,432217,432128,432128
100,small,0,147854,147794,147794,147794,143483,142900,142842,142842,142842
100,big,0,1011169,1011169,1011029,1011029,1083651,1039735,1039735,1039591,1039591
100,big,0,474429,474429,474331,474331,514102,488957,488957,488856,488856
100,big,0,140597,140597,140540,140540,153580,147974,147974,147914,147914
100,big,0,1014354,1014354,1014214,1014214,1033032,1014412,1014412,1014272,1014272
100,big,0,450785,450692,450692,450692,460583,450911,450818,450818,450818
100,big,0,138567,138567,138511,138511,121061,118901,118901,118853,118853
100,big,0,967124,967124,966990,966990,1002843,959913,959913,959780,959780
100,big,0,542846,542734,542734,542734,533735,509192,509087,509087,509087
100,big,0,101726,101685,101685,101685,121173,116561,116514,116514,116514
100,big,0,1154449,1154449,1154289,1175960,1149258,1147391,1147391,1147232,1161468
